,TIME,CR_ENV,CR_SAC,CR_TFE,CR_SFY,CR_REG,CR_QMF,CR_ECV,CR_USB,CR_RLB,CR_INF,CR_SCL
0,0,0.3875047222222222,0.3225806457336108,0.4033613445378151,0.5833323611127315,0.65,0.75,0.6944444444439472,0.48666666666666664,0.5375,0.39999999999999997,0.17616904385259888
1,1,0.3882546424822011,0.32377811850135396,0.40684348280105503,0.588332352779412,0.6528,0.9166666666666666,0.6958473611106144,0.4916666666666667,0.5387500000000001,0.402,0.1800890146754523
2,2,0.3890045642615805,0.32498214458482516,0.4103128740024366,0.5933323444460925,0.656,0.75,0.6972502777772808,0.496,0.53975,0.4035,0.18353200999128497
3,3,0.389754487551165,0.32619507533052017,0.41383223771148686,0.5983323361127731,0.6588,0.5833333333333334,0.6986531944439466,0.501,0.5409999999999999,0.40549999999999997,0.1874746189326853
4,4,0.3905044122974215,0.327414717594384,0.4173048774793288,0.6033323277794537,0.6616,0.8333333333333334,0.7000561111106125,0.5053333333333333,0.542,0.407,0.1909422373349747
5,5,0.39125433846341384,0.3286434077297127,0.4208671253717726,0.6083323194461342,0.6648000000000001,0.5,0.7014590277772771,0.5103333333333334,0.54325,0.40900000000000003,0.19490908199511398
6,6,0.3920042659998704,0.3298778869046741,0.42436746800781805,0.6133323111128147,0.6676000000000001,0.9166666666666666,0.7028619444439441,0.5146666666666667,0.54425,0.41050000000000003,0.19840247139817313
7,7,0.3927541948996134,0.3311237306402667,0.4279327993398369,0.6183323027794954,0.6704000000000001,0.8333333333333334,0.7042648611106078,0.5196666666666667,0.5455,0.4125,0.20239490178990086
8,8,0.39350412511529065,0.3323744299298055,0.43147062614048987,0.6233322944461759,0.6734000000000001,0.8333333333333334,0.7056677777772733,0.524,0.5465,0.414,0.20591502783566987
9,9,0.39425405661449175,0.33363667517914297,0.4350900533718731,0.6283322861128564,0.6762000000000001,0.9166666666666666,0.7070706944439393,0.5286666666666667,0.54775,0.4159999999999999,0.20993419055236942
10,10,0.39500398935356285,0.33490391623185556,0.43864634568362454,0.633332277779537,0.679,0.4166666666666667,0.7204816666658586,0.5333333333333333,0.54875,0.4175,0.21376056605202276
