Time,Mileage,Planned_Volume,Coefficient_K1,Coefficient_K2,Coefficient_K3,Scalability_Criterion
1,1000.0,500.0,0.9,0.8,0.85,0.0
2,1010.10101010101,515.1515151515151,0.902020202020202,0.8020202020202021,0.852020202020202,0.010739561823618975
3,1020.2020202020202,530.3030303030303,0.9040404040404041,0.8040404040404041,0.854040404040404,0.021419269018529287
4,1030.3030303030303,545.4545454545455,0.9060606060606061,0.8060606060606061,0.8560606060606061,0.032043201662221805
5,1040.4040404040404,560.6060606060606,0.9080808080808082,0.8080808080808082,0.8580808080808081,0.042615120946552655
6,1050.5050505050506,575.7575757575758,0.9101010101010101,0.8101010101010101,0.86010101010101,0.053138501636675106
7,1060.6060606060605,590.9090909090909,0.9121212121212121,0.8121212121212121,0.8621212121212121,0.06361656048705891
8,1070.7070707070707,606.060606060606,0.9141414141414141,0.8141414141414142,0.8641414141414141,0.07405228120613286
9,1080.8080808080808,621.2121212121212,0.9161616161616162,0.8161616161616162,0.8661616161616161,0.08444843646223109
10,1090.909090909091,636.3636363636364,0.9181818181818182,0.8181818181818182,0.8681818181818182,0.0948076073431479
11,1101.010101010101,651.5151515151515,0.9202020202020202,0.8202020202020203,0.8702020202020202,0.1051322006159171
12,1111.111111111111,666.6666666666667,0.9222222222222223,0.8222222222222223,0.8722222222222222,0.1154244640794655
13,1121.2121212121212,681.8181818181818,0.9242424242424243,0.8242424242424243,0.8742424242424243,0.12568650025823436
14,1131.3131313131312,696.969696969697,0.9262626262626263,0.8262626262626263,0.8762626262626263,0.13592027864792333
15,1141.4141414141413,712.1212121212121,0.9282828282828283,0.8282828282828283,0.8782828282828282,0.1461276466937251
16,1151.5151515151515,727.2727272727273,0.9303030303030303,0.8303030303030303,0.8803030303030303,0.15631033965568888
17,1161.6161616161617,742.4242424242425,0.9323232323232323,0.8323232323232324,0.8823232323232323,0.16646998949421732
18,1171.7171717171718,757.5757575757575,0.9343434343434344,0.8343434343434344,0.8843434343434343,0.17660813289048957
19,1181.8181818181818,772.7272727272727,0.9363636363636364,0.8363636363636364,0.8863636363636364,0.18672621850117496
20,1191.919191919192,787.8787878787879,0.9383838383838384,0.8383838383838385,0.8883838383838384,0.19682561353370892
21,1202.020202020202,803.030303030303,0.9404040404040405,0.8404040404040405,0.8904040404040404,0.20690760971725491
22,1212.121212121212,818.1818181818182,0.9424242424242425,0.8424242424242424,0.8924242424242425,0.21697342873493547
23,1222.2222222222222,833.3333333333334,0.9444444444444445,0.8444444444444444,0.8944444444444445,0.2270242271747491
24,1232.3232323232323,848.4848484848485,0.9464646464646465,0.8464646464646465,0.8964646464646464,0.23706110104956013
25,1242.4242424242425,863.6363636363636,0.9484848484848485,0.8484848484848485,0.8984848484848484,0.24708508993049014
26,1252.5252525252524,878.7878787878788,0.9505050505050505,0.8505050505050505,0.9005050505050505,0.2570971807327988
27,1262.6262626262626,893.939393939394,0.9525252525252526,0.8525252525252526,0.9025252525252525,0.2670983111888027
