Time,TRL_Level,Challenges_Resolved,Technical_Feasibility
0,3.0,1.0,0.24
1,3.3,1.27,0.2708
2,3.585,1.5319,0.300276
3,3.85575,1.785943,0.32848772000000004
4,4.1129625,2.03236471,0.3554920884
5,4.357314375,2.2713937687,0.381343375748
6,4.589448656249999,2.503251955639,0.4060933219755599
7,4.809976223437499,2.72815439696983,0.42979125744129315
8,5.0194774122656245,2.946309765060735,0.45248421808680434
9,5.2185035416523435,3.157920472108913,0.4742170549945127
10,5.407578364569726,3.3631828579456458,0.49503253862247426
11,5.58719944634124,3.5622873722072765,0.514971457977707
12,5.757839474024179,3.7554187510410584,0.5340727149765876
13,5.919947500322969,3.9427561885098266,0.552373414228591
14,6.073950125306821,4.124473502854531,0.5699089484679692
15,6.22025261904148,4.300739297768896,0.5867130798468545
16,6.3592399880894055,4.471717118835829,0.6028180172927269
17,6.491277988684935,4.637565605270754,0.6182544901231591
18,6.616714089250689,4.798438637112631,0.6330518181012178
19,6.735878384788154,4.954485477999252,0.647237978105847
20,6.849084465548746,5.105850913659274,0.660839667582954
21,6.956630242271308,5.2526753862494955,0.6738823649347337
22,7.058798730157743,5.395095124662011,0.6863903869969965
23,7.155858793649855,5.533242270922151,0.6983869437468764
24,7.248065853967363,5.667245002794487,0.7098941903762703
25,7.335662561268995,5.797227652710652,0.7209332768596923
26,7.418879433205545,5.9233108231293325,0.7315243951388763
27,7.497935461545268,6.045611498435453,0.741686824040436
28,7.573038688468005,6.164243153482389,0.7514389720371626
29,7.644386754044604,6.279315858877918,0.7607984179580903
30,7.712167416342374,6.39093638311158,0.769781949747288
31,7.776559045525255,6.499208291618232,0.778405601366413
32,7.837731093248992,6.604232042869685,0.7866846879313869
33,7.895844538586543,6.706105081583595,0.7946338391691132
34,7.951052311657215,6.804921929136087,0.8022670312759245
35,8.003499696074355,6.900774271262005,0.8095976172554371
36,8.053324711270637,6.993751043124145,0.8166383558096748
37,8.100658475707105,7.083938511830421,0.8234014388536905
38,8.14562555192175,7.171420356475508,0.8298985177204703
39,8.188344274325662,7.256277745781243,0.8361407281196271
40,8.22892706060938,7.338589413407806,0.8421387139102708
41,8.26748070757891,7.418431731005572,0.8479026497454836
42,8.304106672199964,7.4958787790754045,0.8534422626430137
43,8.338901338589967,7.571002415703142,0.8587668525341234
44,8.37195627166047,7.643872343232048,0.8638853118399799
45,8.403358458077445,7.714556172935087,0.8688061441225665
46,8.433190535173573,7.783119487747034,0.8735374818547863
47,8.461531008414894,7.849625903114623,0.8780871033522445
48,8.48845445799415,7.914137126021184,0.882462448907124
49,8.514031735094443,7.976713012240548,0.8866706361625848
50,8.538330148339721,8.037411621873332,0.890718474764248
51,8.561413640922735,8.096289273217131,0.8946124803235342
52,8.583342958876598,8.153400595020617,0.8983588877259312
53,8.604175810932768,8.208798577169999,0.9019636638156512
54,8.623967020386129,8.262534619854899,0.9054325194866045
55,8.642768669366822,8.314658581259252,0.9087709212081583
56,8.66063023589848,8.365218823821474,0.9119841020127577
57,8.677598724103557,8.41426225910683,0.915077071971177
58,8.69371878789838,8.461834391333625,0.9180546281799037
59,8.709032848503462,8.507979359593616,0.9209213642839753
60,8.723581206078288,8.552739978805807,0.9236816795574514
61,8.737402145774373,8.596157779441633,0.9263397875626236
62,8.750532038485655,8.638273046058384,0.9288997244080457
63,8.763005436561372,8.679124854676632,0.9313653566244899
64,8.774855164733303,8.718751109036333,0.9337403886770068
65,8.786112406496638,8.757188575765243,0.9360283701303856
66,8.796806786171807,8.794472918492286,0.9382327024844785
67,8.806966446863216,8.830638730937517,0.9403566456950484
68,8.816618124520055,8.865719569009391,0.9424033243950459
69,8.825787218294051,8.89974798193911,0.9443757338305011
70,8.834497857379349,8.932755542480935,0.9462767455245273
71,8.842772964510381,8.964772876206506,0.9481091126822856
72,8.850634316284863,8.995829689920312,0.9498754753491366
73,8.85810260047062,9.025954799222703,0.9515783653336161
74,8.86519747044709,9.055176155246022,0.9532202109063135
75,8.871937596924734,9.083520870588641,0.9548033412851946
76,8.878340717078498,9.111015244470982,0.9563299909174058
77,8.884423681224572,9.137684787136854,0.9578023035671123
78,8.890202497163344,9.163554243522748,0.9592223362184662
79,8.895692372305177,9.188647616217066,0.9605920628023611
80,8.900907753689918,9.212988187730554,0.9619133777552167
81,8.905862366005422,9.236598542098637,0.9631880994176403
82,8.910569247705151,9.259500585835678,0.9644179732804372
83,8.915040785319894,9.281715568260607,0.9656046750850839
84,8.9192887460539,9.303264101212788,0.9667498137854381
85,8.923324308751205,9.324166178176405,0.9678549343771365
86,8.927158093313645,9.344441192831113,0.9689215206008208
87,8.930800188647963,9.36410795704618,0.9699509975250447
88,8.934260179215565,9.383184718334794,0.9709447340144295
89,8.937547170254787,9.40168917678475,0.9719040450883757
90,8.940669811742048,9.419638501481208,0.9728301941753849
91,8.943636321154946,9.43704934643677,0.9737243952678005
92,8.946454505097199,9.453937866043669,0.9745878149815601
93,8.94913177984234,9.470319730062359,0.9754215745253171
94,8.951675190850223,9.486210138160487,0.9762267515831009
95,8.954091431307711,9.501623834015673,0.9770043821144744
96,8.956386859742326,9.516575118995203,0.9777554620759632
97,8.95856751675521,9.531077865425347,0.9784809490673612
98,8.960639140917449,9.545145529462587,0.9791817639063334
99,8.962607183871576,9.558791163578709,0.9798587921345867
