Time,Common_Infrastructure_Features,Barriers_to_Construction,Intermodal_Connections,Adaptability_Features,Infrastructure_Integration
1,0.5,0.5,0.4,0.3,0.425
2,0.5317119598282822,0.475614712250357,0.4901142899342128,0.3209937022671741,0.45460866607000655
3,0.5632962267868746,0.45241870901797976,0.5428277703248412,0.3419496724704004,0.475123094650024
4,0.5946256221802051,0.4303539882125289,0.5802285798684256,0.36283044932301206,0.4920096598960429
5,0.6255739935905396,0.4093653765389909,0.609238901549074,0.3835991089740701,0.5069443451631687
6,0.6560167228492435,0.38940039153570244,0.632942060259054,0.40421952353632257,0.5206446745450807
7,0.6858312278301638,0.37040911034085894,0.6529827953945382,0.4246566076821311,0.533469935311923
8,0.7148974560445858,0.3523440448593567,0.6703428698026384,0.44487654981061675,0.5456152301292994
9,0.7430983680502343,0.33516002301781966,0.6856555406496825,0.46484702467694855,0.5571902390986713
10,0.7703204087277988,0.31881407581088667,0.6993531914832869,0.4845373848305423,0.5682562652131287
11,0.7964539645273202,0.3032653298563167,0.7117442238894645,0.5039188287161136,0.5788455867473037
12,0.8213938048432696,0.2884749051902433,0.7230563501932668,0.5229645438319396,0.5889724010146798
13,0.845039505741056,0.2744058180470132,0.733462497644643,0.5416498238948646,0.5986394113318942
14,0.8672958543287667,0.261022888380508,0.7430970853287511,0.5599521595135554,0.6078419968878953
15,0.8880732321458784,0.24829265189570474,0.7520666718739153,0.5778513024035543,0.6165709645797632
16,0.9072879760251679,0.23618327637050734,0.7604571597368511,0.5953293036750055,0.624814428951883
17,0.9248627149747572,0.22466448205861078,0.7683388115717542,0.6123705271741458,0.632559133944817
18,0.940726681723791,0.21370746597436333,0.7757698305838951,0.6289616392531263,0.639791404383794
19,0.9548159976772592,0.20328482987029955,0.7827989715659748,0.645091576672727,0.6464978439465652
20,0.9670739301325533,0.1933705117272506,0.7894674814174996,0.6607514946051867,0.6526658544706225
21,0.9774511207220369,0.18393972058572117,0.7958105657193795,0.6759346968986246,0.6582840259814405
22,0.9859057841617709,0.17496887455557766,0.8018585138236771,0.690636550891737,0.6633424308581907
23,0.9924038765061041,0.16643554184903978,0.8076375736434963,0.704854389131154,0.6678328452824486
24,0.9969192322306271,0.15831838468952658,0.8131706401274795,0.7185874003492588,0.671748914349223
25,0.999433669591504,0.150597105956101,0.8184778030981481,0.7318365120139455,0.6750862726649247
26,0.9999370638369376,0.14325239843009505,0.8235767875788558,0.744604266671101,0.6778426291292474
27,0.9984273879759712,0.1362658965170063,0.8284833109745235,0.756894694173393,0.6800178224102236
28,0.9949107209404664,0.12962013032294575,0.8332113752629637,0.7687131817331394,0.6816138520648789
