Time,Durability,Digital_Reliability,Weather_Resilience,Pollution,Reliability_Criterion
1,0.1,0.2,0.3,0.9,0.375
2,0.10808080808080808,0.20101010101010103,0.301010101010101,0.896969696969697,0.37676767676767675
3,0.11616161616161616,0.20202020202020204,0.302020202020202,0.8939393939393939,0.3785353535353535
4,0.12424242424242425,0.20303030303030303,0.30303030303030304,0.890909090909091,0.38030303030303036
5,0.13232323232323234,0.20404040404040405,0.30404040404040406,0.8878787878787879,0.3820707070707071
6,0.14040404040404042,0.20505050505050507,0.305050505050505,0.8848484848484849,0.38383838383838387
7,0.1484848484848485,0.20606060606060608,0.30606060606060603,0.8818181818181818,0.3856060606060606
8,0.15656565656565657,0.20707070707070707,0.30707070707070705,0.8787878787878788,0.38737373737373737
9,0.16464646464646465,0.2080808080808081,0.30808080808080807,0.8757575757575757,0.3891414141414141
10,0.17272727272727273,0.2090909090909091,0.3090909090909091,0.8727272727272728,0.39090909090909093
11,0.1808080808080808,0.21010101010101012,0.3101010101010101,0.8696969696969697,0.39267676767676774
12,0.18888888888888888,0.2111111111111111,0.3111111111111111,0.8666666666666667,0.3944444444444445
13,0.19696969696969696,0.21212121212121213,0.31212121212121213,0.8636363636363636,0.39621212121212124
14,0.20505050505050504,0.21313131313131314,0.31313131313131315,0.8606060606060606,0.397979797979798
15,0.21313131313131314,0.21414141414141416,0.3141414141414141,0.8575757575757575,0.39974747474747474
16,0.22121212121212122,0.21515151515151515,0.3151515151515151,0.8545454545454546,0.4015151515151515
17,0.2292929292929293,0.21616161616161617,0.31616161616161614,0.8515151515151516,0.4032828282828283
18,0.23737373737373738,0.21717171717171718,0.31717171717171716,0.8484848484848485,0.4050505050505051
19,0.24545454545454545,0.2181818181818182,0.3181818181818182,0.8454545454545455,0.4068181818181818
20,0.2535353535353535,0.2191919191919192,0.3191919191919192,0.8424242424242424,0.4085858585858586
21,0.26161616161616164,0.2202020202020202,0.3202020202020202,0.8393939393939394,0.41035353535353536
22,0.2696969696969697,0.22121212121212122,0.3212121212121212,0.8363636363636364,0.41212121212121217
23,0.2777777777777778,0.22222222222222224,0.32222222222222224,0.8333333333333334,0.41388888888888886
24,0.28585858585858587,0.22323232323232323,0.3232323232323232,0.8303030303030303,0.4156565656565656
25,0.29393939393939394,0.22424242424242424,0.3242424242424242,0.8272727272727273,0.4174242424242424
26,0.302020202020202,0.22525252525252526,0.32525252525252524,0.8242424242424242,0.4191919191919192
27,0.3101010101010101,0.22626262626262628,0.32626262626262625,0.8212121212121213,0.420959595959596
