Time,Quantum_Factor,Maglev_levitation,AI_Machine_Learning,Digital_twins,5G,Quantum_Computing,Augmented_Reality,Virtual_Reality,3D_printing_at_scale,Blockchain,Self_driving_autonomous_vehicles
0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.09999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.1,0.5205191557239006,0.47948084427609944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.1,0.14448348178115047,0.8555165182188496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.1,0.9895220423906602,0.01047795760933974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.09999999999999999,0.8440164257982895,0.15598357420171038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.1,0.30398901997089706,0.696010980029103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.1,0.7129709002036828,0.2870290997963172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.1,0.5230804653374348,0.47691953466256515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.1,0.6735836687671327,0.32641633123286723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.1,0.03860840205662116,0.9613915979433788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.1,0.34079416618020053,0.6592058338197995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.1,0.7353245220916835,0.013560402299329753,0.2511150756089867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.1,0.6104329342931825,0.021905266607915794,0.3676617990989017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.09999999999999999,0.5142457510631464,0.004484848467196595,0.48126940046965694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.09999999999999999,0.5583521909258116,0.18740448210883653,0.2542433269653518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.1,0.4389639433460464,0.5523059382914552,0.008730118362498335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.09999999999999999,0.2746561986402813,0.46120013902467133,0.26414366233504727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.10000000000000002,0.5915690572140148,0.11871116029075619,0.2897197824952292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.1,0.11575296549002895,0.01809743461102409,0.8661495998989469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.1,0.0902543745181118,0.808634174105947,0.10111145137594135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.1,0.014014877034059079,0.35835094475029944,0.6276341782156415,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.09999999999999999,0.3959279944081511,0.025959420341976267,0.05907085391418523,0.5190417313356873,0.0,0.0,0.0,0.0,0.0,0.0
31,0.1,0.11929898453684236,0.19689967143692913,0.5674830269201863,0.11631831710604228,0.0,0.0,0.0,0.0,0.0,0.0
32,0.09999999999999999,0.02590019711671665,0.6163483098263555,0.13333264523431942,0.22441884782260832,0.0,0.0,0.0,0.0,0.0,0.0
33,0.1,0.3475007617432148,0.20308564932752732,0.017733797000667368,0.4316797919285906,0.0,0.0,0.0,0.0,0.0,0.0
34,0.1,0.004895222527100814,0.10838654625415597,0.5074658291326543,0.3792524020860889,0.0,0.0,0.0,0.0,0.0,0.0
35,0.09999999999999999,0.3536027121708416,0.4355395286145141,0.19669750076968012,0.014160258444964074,0.0,0.0,0.0,0.0,0.0,0.0
36,0.09999999999999998,0.1495733209439463,0.45611779022651666,0.08030858163574899,0.3140003071937879,0.0,0.0,0.0,0.0,0.0,0.0
37,0.1,0.07013064090966797,0.6097741541512565,0.27052205498403054,0.04957314995504504,0.0,0.0,0.0,0.0,0.0,0.0
38,0.1,0.20968158592339334,0.05697377870498296,0.4712169017080011,0.2621277336636225,0.0,0.0,0.0,0.0,0.0,0.0
39,0.09999999999999998,0.20684040447086216,0.3820376818321382,0.3481114831104785,0.06301043058652102,0.0,0.0,0.0,0.0,0.0,0.0
40,0.1,0.05021383595516685,0.027880960690896198,0.10111405787022344,0.13483681460849845,0.6859543308752151,0.0,0.0,0.0,0.0,0.0
41,0.10000000000000002,0.05994509038000583,0.22599276858713818,0.5433185771189029,0.1571641800875608,0.013579383826392418,0.0,0.0,0.0,0.0,0.0
42,0.1,0.20225850172767318,0.14825764019147455,0.20621967838750405,0.10812701560158695,0.33513716409176125,0.0,0.0,0.0,0.0,0.0
43,0.1,0.01643542729980607,0.3439724834809841,0.33596487438015027,0.18962103136381778,0.1140061834752418,0.0,0.0,0.0,0.0,0.0
44,0.10000000000000002,0.1284823027098468,0.06447905860222711,0.18875361053089426,0.5177872841740638,0.10049774398296811,0.0,0.0,0.0,0.0,0.0
45,0.1,0.0531742317659617,0.16855253628455313,0.20920819087277026,0.1728183014273854,0.39624673964932955,0.0,0.0,0.0,0.0,0.0
46,0.1,0.19794881985076507,0.021384701758227743,0.26261962618078183,0.15118088931242574,0.36686596289779966,0.0,0.0,0.0,0.0,0.0
47,0.1,0.015791327803035386,0.14762457473739982,0.3731939067498506,0.01962302987471564,0.4437671608349985,0.0,0.0,0.0,0.0,0.0
48,0.1,0.037158074220870044,0.18535668959243937,0.2718124363326811,0.4450610302895796,0.060611769564430006,0.0,0.0,0.0,0.0,0.0
49,0.09999999999999999,0.026271477228997725,0.3425555935937784,0.0753572899420279,0.0043245893815543,0.5514910498536416,0.0,0.0,0.0,0.0,0.0
50,0.1,0.3730321534114998,0.032525502025266884,0.30439069079152786,0.02982574850609545,0.024386821477006302,0.2358390837886037,0.0,0.0,0.0,0.0
51,0.1,0.27395040885212596,0.34899237386374976,0.15697626951312538,0.09803969661354618,0.1085184982985421,0.013522752858910603,0.0,0.0,0.0,0.0
52,0.1,0.013478461589427452,0.434956701398036,0.0710081573005451,0.37279418852477,0.07484616430664062,0.03291632688058081,0.0,0.0,0.0,0.0
53,0.1,0.3239473807601645,0.06816285834888178,0.067989804091309,0.14094827690209616,0.07675570048608998,0.32219597941145867,0.0,0.0,0.0,0.0
54,0.1,0.012279511232274014,0.09834479212831829,0.14797786715787598,0.31554276964172256,0.3569953492090481,0.06885971063076111,0.0,0.0,0.0,0.0
55,0.09999999999999999,0.13399106872894012,0.08399544572956764,0.006364719219185106,0.21002248822362896,0.13005833528866995,0.43556794281000816,0.0,0.0,0.0,0.0
56,0.1,0.0866993600555118,0.07245427511635487,0.6997987280958219,0.012302398880064527,0.05276152133726727,0.0759837165149797,0.0,0.0,0.0,0.0
57,0.1,0.1221569400655402,0.025501979510160682,0.013568452881949843,0.4543230834148504,0.08866060505837726,0.2957889390691217,0.0,0.0,0.0,0.0
58,0.1,0.019186605540104307,0.2539599355989888,0.2705417074329908,0.04309980215001153,0.11873539642539532,0.29447655285250934,0.0,0.0,0.0,0.0
59,0.1,0.15592512063950625,0.25221300505617794,0.2965920011589449,0.08463763260690951,0.15918914974147172,0.051443090796989624,0.0,0.0,0.0,0.0
60,0.1,0.09542287346814333,0.26179322562912566,0.12823551879160208,0.05597479794741193,0.11403003604826066,0.07302757858564735,0.27151596952980916,0.0,0.0,0.0
61,0.10000000000000002,0.014271326534511103,0.06148934238943824,0.07163297354683226,0.09198697611988162,0.21770012395943616,0.1685784665240581,0.37434079092584266,0.0,0.0,0.0
62,0.1,0.13768600565316375,0.14321248511961776,0.10615494878625749,0.022191440632113996,0.24191380540651558,0.3000400756711781,0.04880123873115335,0.0,0.0,0.0
63,0.1,0.2523750741365509,0.08853721526138557,0.16037556845581533,0.02934307640737042,0.037758005004243526,0.031815520671124226,0.3997955400635101,0.0,0.0,0.0
64,0.1,0.27666114938596775,0.0782172355977942,0.20529329953937814,0.08257687960530923,0.1085963382950674,0.0969620386161273,0.15169305896035595,0.0,0.0,0.0
65,0.09999999999999999,0.12841836508026283,0.2493611102853768,0.1591244068011002,0.018805481290738134,0.05429936894268398,0.3362661600935076,0.05372510750633039,0.0,0.0,0.0
66,0.09999999999999999,0.2607463934582217,0.0945328747131518,0.1342908246296768,0.06774608206943884,0.2646085247374706,0.095856837387593,0.08221846300444718,0.0,0.0,0.0
67,0.09999999999999998,0.2110788079212352,0.36068536334416956,0.05236396568073556,0.016307169777230266,0.26023708277209623,0.015946690401152645,0.08338092010338038,0.0,0.0,0.0
68,0.10000000000000002,0.057924345461426045,0.31843947188760896,0.1845085638893311,0.03741042362784682,0.1268068752882019,0.05504348039703432,0.219866839448551,0.0,0.0,0.0
69,0.1,0.049773891517217006,0.14188238893783056,0.4747465464930087,0.02909660268250268,0.0004842622301028359,0.3010903926472994,0.0029259154920389732,0.0,0.0,0.0
70,0.09999999999999998,0.3490015645565967,0.07549715143638708,0.30315313295245433,0.16977717224598463,8.007502383964145e-05,0.005669138043786843,0.08781045405339141,0.009011311687559238,0.0,0.0
71,0.1,0.0018408717542692198,0.3233413672460979,0.11251531211495744,0.032664021188825616,0.004552665688398965,0.3203516303115658,0.10006571334733141,0.10466841834855364,0.0,0.0
72,0.1,0.12874629265352056,0.26338876479895146,0.03724028680643995,0.11295322334504672,0.07079852348362399,0.18612274675073803,0.15639608414438746,0.044354078017291895,0.0,0.0
73,0.09999999999999999,0.06366009131745134,0.05512267522099336,0.13096151078352894,0.3236475602237841,0.18013585434940085,0.1794950723406421,0.028930789099947066,0.038046446664252165,0.0,0.0
74,0.1,0.003040372452985283,0.029447033358637048,0.016590760875888993,0.3658047155668649,0.07310942960623855,0.21807663037129071,0.20376875790413898,0.09016229986395545,0.0,0.0
75,0.1,0.01715323830475063,0.4651435853863783,0.008279318890486933,0.08342132130076287,0.013253707057530427,0.10698879380687082,0.22414406740272882,0.08161596785049119,0.0,0.0
76,0.09999999999999998,0.19874913913006356,0.13252492096945734,0.06254453080753658,0.3133231644515571,0.017870373145427866,0.16741399013075922,0.0783937499155615,0.0291801314496367,0.0,0.0
